namaste_code,namaste_term,namaste_terms,icd_code,icd_description
PA-19,saviSha-nasya/saviSha-dhUpanam/dhUmapAnaH,"the disorder is characterized by śirōruk/śirōduḥkham [headache], hr̥druk/hr̥tpīḍā [precordial pain/cardiac pain], mūrcchā [syncope/attacks of swooning], bhrāntanētratvam [rolling of eyes], khēbhyaḥ śōṇitāgamanam [bleeding from the pores], kaphasaṁsravaḥ [secretion of mucus], indriyāṇām vaikr̥tam [impairment of sense organs] saviSha-nasya/saviSha-dhUpanam/dhUmapAnaH",1E30,Dengue Fever
PA-20,saviSha-puShpagandhaH/saviShamAlyopayoga,"the disorder is characterized by śirōrujā/śirōduḥkham [headache], lōmaharṣakaram [causing horripilation], vivarṇatvam [discolouration], vāripūrṇalōcanam [tearful eyes/ watering of eyes] saviSha-puShpagandhaH/saviShamAlyopayoga",9A00,Conjunctivitis
PA-21,saviSha-karNapUraNam,"the disorder is characterized by śrōtravaiguṇyam [impaired hearing], karṇaśōphaḥ [swelling in ear], karṇavēdanā/karṇaśūlam [pain in ear], karṇasrāvaḥ [discharge], karṇapākaḥ [suppuration] saviSha-karNapUraNam",AB00,Otitis Media
PA-22,saviSha-a~jjana,"the disorder is characterized by akṣidāhaḥ [burning of eyes], akṣisrāvaḥ [discharge from eyes], ati-upadēhaḥ/upadēhaḥ [stickiness], śōthaḥ [oedema], rāgaḥ [redness/congestion], aśruḥ [lacrimation], dāhaḥ [burning sensation], vēdanā [pain], dr̥ṣṭivibhramaḥ [impaired vision], āndhyam [blindness] saviSha-a~jjana",8E00,Peripheral Neuropathy
PA-23,viShajuShTa-pAdukAdhAraNam,"the disorder is characterized by śōphaḥ [oedema], srāvaḥ [discharge], pādayōḥ svāpaḥ [numbness in feet], sphōṭajanmaḥ [blisters] viShajuShTa-pAdukAdhAraNam",8E00,Peripheral Neuropathy
PA-24,saviSha-CatropayogaH,"the disorder is characterized by vēdanā [pain], kṣiprapākaḥ [quick suppuration], pakvajāmbavaprakāśānāṁ sphōṭānāṁ prādurbhāvaḥ [blisters resembling ripe jambu (black plum)] saviSha-CatropayogaH",NF00,Burn Injury
PA-25,saviSha-BUShaNa dhAraNA/ala~gkAraH,"the disorder is characterized by dāhaḥ [burning sensation], pākaḥ [inflammation/suppuration], avadāraṇam [craks, fissuring of skin], kaṇḍūḥ [itching], artiḥ [pain], kōṭhaḥ [wheal like skin eruptions], piḍakā [papule/ eruptions], rōmōdgamaḥ [horripilation/ascent of hairs], cimicimāyanam [tingling sensation], śōthaḥ [oedema] saviSha-BUShaNa dhAraNA/ala~gkAraH",8E00,Peripheral Neuropathy
PA-26,viShadigdha-viddhaH/viShadigdha Sastra/viShaliptaSastrahataH,"the disorder is characterized by tr̥ṣṇā/tr̥ṭ [thirst], mūrcchā [syncope/attacks of swooning], bhrāntiḥ [confusion], dāhaḥ [burning sensation], jvaraḥ [fever], muhurmuhuḥ pratāmyati [frequent affliction], vivarṇabhāvam [discoloration of the skin], viṣādam āśu gacchati [quick distress], gātraṁ kīṭairivāvr̥taṁ cimicimāyatē [tingling sensation as if covered with insects], śrōṇivēdanā [pain in pelvis], pr̥ṣṭhavēdanā [pain in back], śirōvēdanā [headache], skandhavēdanā [pain in shoulders], sandhivēdanā [pain in joints], kr̥ṣṇa-asravisrāvaḥ [blackish bleeding], duṣṭa-asravisrāvaḥ [impure blood discharge], dr̥ṣṭikāluṣyam [impaired vision], vamathuḥ [vomiting], kṣaṇāt śvāsakaraḥ [instantaneous dysponea], kṣaṇāt kāsakaraḥ [instantaneous cough], āraktapītaparyantaḥ śyāvamadhyaḥ atirugvraṇaḥ [wound/ ulcer having reddish yello borders and blackishness centrally], śūyatē [oedema], pacyatē [suppuration], māṁsakr̥ṣṇatā [blackish discoluration of māṁsa], praklinnaṁ māṁsam śīryatē [decaying of wet māṁsa], māṁsam abhīkṣṇaṁ sapicchilaparisravam [constant sticky discharge from māṁsa] viShadigdha-viddhaH/viShadigdha Sastra/viShaliptaSastrahataH",8E00,Peripheral Neuropathy
PA-27,tuNDAhataH,"the disorder is characterized by lālāpariklēdam [excessive salivation and wet body parts], na daṁṣṭrākr̥taṁ daṁśam [no signs of bite] tuNDAhataH",1E90,Rabies
PA-28,vyAlIDhaH,"the disorder is characterized by ēkaṁ daṁṣṭrāpadaṁ dvē vā [one or two bite signs], aśōṇitam [no bleeding] vyAlIDhaH",1E90,Rabies
PA-29,vyAluptaH,"the disorder is characterized by dvē daṁṣṭrāpadam [two], saśōṇitam [with bleeding] vyAluptaH",JA00,Complications of Pregnancy
PA-30,daShTakaH,"the disorder is characterized by trīṇi daṁṣṭrāpadāni [three teeth marks of bite], māṁsacchēdaḥ [cutting of māṁsa (muscle)], avicchinnaraktavāhīni [continuous bleeding] daShTakaH",1E90,Rabies
PA-31,daShTanipIDitaH,the disorder is characterized by catvāri daṁṣṭrāpadāni [four bite marks] daShTanipIDitaH,1E90,Rabies
PA-32,saviSha-daMSaH,"the disorder is characterized by suptaḥ/suptiḥ (daṁśasthānē suptatā) [numbness at bite site], kr̥ṣṇam asr̥k kṣarati [blackish bleeding], hr̥druk [precordial pain/cardiac pain], śirōruk [headache], jvaraḥ [fever], stambhaḥ [rigidity/stiffness], tr̥ṣṇā [thirst], mūrcchā [syncope/attacks of swooning], kaṇḍūḥ [itching], nistōdaḥ [pricking type of pain], vaivarṇyam [discolouration], klēdaḥ [moistening / soddening], jvaraḥ [fever], bhramaḥ [giddiness or dizziness], vidāhaḥ [internal burning sensation], rāgaḥ [redness/congestion], ruk [pain], pākaḥ [inflammation/suppuration], śōphaḥ [oedema], granthiḥ [glandular swellings], vikuñcanam [contractions], daṁśāvadaraṇam [cracking of the tissue in place of bite], sphōṭāḥ [blister], karṇikā [thorny], sarvatra maṇḍalāni [circular patches all over] saviSha-daMSaH",FA01,Rheumatoid Arthritis
PA-33,saviSha-aByavaharaNam,"the disorder is characterized by ōṣṭhacimicimāyanam [tingling sensation in lips], antarvaktradāhaḥ [burning sensation in mouth], jihvāmūlagauravam [heaviness/ numbness at the base of tongue], hanustambhaḥ [stiffness of jaw], dantaharṣaḥ [tenderness or intolerance to be touched in teeth/ dental hyperasthesia], lālā [salivation], rasa-aparijñānam/rasa-ajñatvam [unable to perceive taste], jihvājāḍyam [heaviness of tongue], ōṣṭhajāḍyam [stiffness/ heaviness of lips], ūṣā [burning sensation with sweating and restlessness], cimicimāyanam (mukhē) [tingling sensation in mouth/ face] saviSha-aByavaharaNam",8E00,Peripheral Neuropathy
PA-34,viShaduShTa-jala,"the disorder is characterized by picchilam [slimy], ugragandhi [offensive smell], phēnānvitam / phēnilam [frothy], rājibhiḥ āvr̥tam / rājibhiḥ citam [with streaks/ blackish], maṇḍūkamatsyaṁ mriyatē [frog and fishes die], vihaṅgā sānūpacarā mattāḥ bhramanti [circulates like a bird], virasatōyam [], kavōṣṇam [lukewarm], guruḥ [heaviness], vicchinnam [not uniform], khagaiḥ anabhinanditam [not prefered by birds], mr̥ta-ākulitamatsyam [appearance of dead fishes in water], sparśāt rukkr̥t [pain on palpation], sparśāt śōphakr̥t [oedema on palpation], sparśāt kaṇḍūkr̥t [itching on palpation] viShaduShTa-jala",MG40,Oedema / Swelling
PA-35,viShdUShita-jala-majjana,"the disorder is characterized by chardiḥ [vomiting], mōhaḥ [semiconsciousness or stupefaction], jvaraḥ [fever], dāhaḥ [burning sensation], śōphaḥ [oedema] viShdUShita-jala-majjana",DA00,Gastritis
PA-36,saviSha-BUmisparSanam,"the disorder is characterized by śūnatāṁ yāti [oedema], dahyatē [burning sensation], rōmaṁ viśīryatē [loss of body hairs], nakhaṁ viśīryatē [loss of nails], dāhaḥ [burning sensation], kaṇḍūḥ [itching], rujā [pain], chardiḥ [vomiting], mūrcchā [syncope/attacks of swooning], jvaraḥ [fever], mōhaḥ [confusion/delirium], śirōduḥkham [headache] saviSha-BUmisparSanam",DA00,Gastritis
PA-37,viShaduShTa-anilasparSaH,"the disorder is characterized by śramārtāḥ khagāḥ bhūmau prapatanti [birds fall on earth due to fatigue], kāsaḥ [cough], pratiśyāyaḥ [cold, catarrh], śirōrujaḥ [headache], tīvrā nayanāmayāḥ [severe form of eye diseases], mārutaḥ śītē (r̥tau) gharmaḥ (uṣṇaḥ) [cold air in summer], mārutaḥ uṣṇē (r̥tau) himaḥ [hot air in winter], bhramaḥ [giddiness or dizziness], mūrcchā [syncope/attacks of swooning] viShaduShTa-anilasparSaH",CA20,Acute Bronchitis
PB,viShavegaH,"the disorder is characterized by rujā [pain], tōdaḥ [pricking pain] viShavegaH",1E30,Dengue Fever
PB-1,prathama-viShavegaH,"the disorder is characterized by tr̥ṭ [thirst], mōhaḥ [confusion/delirium], dantaharṣaḥ [tenderness or intolerance to be touched in teeth/ dental hyperasthesia], prasēkaḥ [excessive salivation], vamathuḥ [vomiting], klamaḥ [exhaustion without exertion] prathama-viShavegaH",5A10,Type 1 Diabetes Mellitus
PB-2,dvitIya-viShavegaH,"the disorder is characterized by vaivarṇyam [discolouration], bhramaḥ [giddiness or dizziness], vēpathuḥ [shivering/tremors], mūrcchā [syncope/attacks of swooning], jr̥mbhā [yawning], aṅgacimicimā [tingling sensation in limbs], tamakaḥ [black outs] dvitIya-viShavegaH",BA00,Hypertensive Heart Disease
PB-3,tRutIya-viShavegaH,"the disorder is characterized by maṇḍalaḥ [circular eruptions], kaṇḍūḥ [itching], śvayathuḥ [oedema], kōṭhaḥ [wheal like skin eruptions] tRutIya-viShavegaH",EA00,Dermatitis / Eczema
PB-4,caturtha-viShavegaH,"the disorder is characterized by dāhaḥ [burning sensation], chardiḥ [vomiting], aṅgaśūlam [pain in the limbs], mūrcchā [syncope/attacks of swooning] caturtha-viShavegaH",DA00,Gastritis
PB-5,pa~jcama-viShavegaH,the disorder is characterized by nīlādīnāṁ tamasaśca darśanam [blue vision or dark vision etc.] pa~jcama-viShavegaH,9B10,Cataract
PB-6,ShaShTha-viShavegaH,the disorder is characterized by hikkā [hiccup] ShaShTha-viShavegaH,1A00,Cholera
PB-7,saptama-viShavegaH,the disorder is characterized by skandhasya bhaṅgaḥ [paralysis of the muscles in the shoulder girdle] saptama-viShavegaH,FB00,Frozen Shoulder
PC (SQ6Y),sthAvaraviShaH,sthAvaraviShaH,1A00,Cholera
PC-1,mUlaviShaH,"the disorder is characterized by udvēṣṭanam [pains/ convulsive movements of limbs], pralāpaḥ [excess talking/irrelevant speech/incoherent speech], mōhaḥ [confusion/delirium] mUlaviShaH",AB30,Hearing Loss
PC-2,patra-viShaH,"the disorder is characterized by jr̥mbhā [yawning], aṅga-udvēṣṭanam [convulsive movements of body], śvāsaḥ [breathlessness/difficult breathing] patra-viShaH",5B80,Obesity
PC-3,Pala-viShaH,"the disorder is characterized by muṣkaśōphaḥ [scrotal oedema], dāhaḥ [burning sensation], annadvēṣaḥ [aversion to food] Pala-viShaH",8E00,Peripheral Neuropathy
PC-4,puShpa-viShaH,"the disorder is characterized by chardiḥ [vomiting], ādhmānaḥ [abdominal distension], mōhaḥ [confusion/delirium] puShpa-viShaH",DA93,Intestinal Obstruction
PC-5,tvaka-viShaH,"the disorder is characterized by āsyadaurgandhaḥ [halitosis], pāruṣyam [roughness/dryness], śirōruk [headache], kaphasaṁsravaḥ [secretion of mucus] tvaka-viShaH",DA95,Dysentery
PC-6,sAra-viShaH,"the disorder is characterized by āsyadaurgandhaḥ [halitosis], pāruṣyam [roughness/dryness], śirōruk [headache], kaphasaṁsravaḥ [secretion of mucus] sAra-viShaH",DA95,Dysentery
PC-7,niryAsa-viShaH,"the disorder is characterized by āsyadaurgandhaḥ [halitosis], pāruṣyam [roughness/dryness], śirōruk [headache], kaphasaṁsravaḥ [secretion of mucus] niryAsa-viShaH",DA95,Dysentery
PC-8,kShIra-viShaH,"the disorder is characterized by phēnāgamaḥ [frothing from mouth], viḍbhēdaḥ [altered stools/ loose motions], gurujihvatā [heaviness of the tongue] kShIra-viShaH",NE61,Poisoning
PC-9 (SQ6Y),dhAtu-viShaH,dhAtu-viShaH,1A00,Cholera
PC-10,kanda-viShaH,the disorder is characterized by tīkṣṇam [strong/ sharp in action] kanda-viShaH,DA40,Appendicitis
PC-10.1,kAlakUTaviShaH,"the disorder is characterized by sparśa-ajñānam [loss of tactile sensation], vēpathuḥ [shivering/tremors], stambhaḥ [rigidity/stiffness] kAlakUTaviShaH",FA01,Rheumatoid Arthritis
PC-10.2,vatsanABaviShaH,"the disorder is characterized by grīvāstambhaḥ [stiffness of neck], pītaviṭ [yellowish stools], pītamūtram [yellowish urine], pītanētratā [yellowish eyes] vatsanABaviShaH",FA20,Cervical Spondylosis
PC-10.3,sarShapaviShaH,"the disorder is characterized by [], vātavaiguṇyam [derangement/impairment of vāta], ānāhaḥ [barborygmus with distention], granthiḥ [glandular swellings] sarShapaviShaH",1A00,Cholera
PC-10.4,pAlakaviShaH,"the disorder is characterized by grīvādaurbalyam [weakness of neck], vāksaṅgaḥ [impediment of speech/ dysphasia] pAlakaviShaH",FA20,Cervical Spondylosis
PC-10.5,vairATakaviShaH,"the disorder is characterized by aṅgaduḥkham [body pain], śirōrōgaḥ [diseases of head] vairATakaviShaH",5B80,Obesity
PC-10.6,mustakaviShaH,"the disorder is characterized by gātrastambhaḥ [stiffness of body parts], vēpathuḥ [shivering/tremors] mustakaviShaH",FA90,Myalgia (Muscle Pain)
PC-10.7,SRu~ggIviShaH,"the disorder is characterized by aṅgasādaḥ [exhaustion or tirednes to body / inability to perform physical activities], dāhaḥ [burning sensation of body], udaravivr̥ddhiḥ [enlargement of the abdomen] SRu~ggIviShaH",5B80,Obesity
PC-10.8,puNDarIkaviShaH,"the disorder is characterized by akṣṇōḥ raktatvam [redness of eyes], udaravr̥ddhiḥ [enlargement of the abdomen] puNDarIkaviShaH",ME03,Hernia
PC-10.9,mUlakaviShaH,"the disorder is characterized by vaivarṇyam [discolouration], chardiḥ [vomiting], hikkā [hiccup], śōphaḥ [oedema], pramūḍhatā [semiconsciousness or stupifaction] mUlakaviShaH",DA20,Gastric Ulcer
PC-10.10,halAhalaviShaH,"the disorder is characterized by cirēṇa ucchvasiti [prolonged expiration], śyāvaḥ [bluish black colour] halAhalaviShaH",1A40,Typhoid Fever
PC-10.11,mahAviSha-kandaviShaH,"the disorder is characterized by hr̥dayē granthiḥ [nodules in heart], bhr̥śaṁ śūlōdgamaḥ [severe pain] mahAviSha-kandaviShaH",BA41,Acute Myocardial Infarction
PC-10.12,karkaTakaviShaH,"the disorder is characterized by ūrdhvaṁ utpatati [falling from height], hasan dantān daśati [laughs, gnashes-grind one's teeth] karkaTakaviShaH",FA70,Osteoporosis
PC-11,sthAvaraviShavega,sthAvaraviShavega,1A00,Cholera
PC-11.1,sthAvara-prathama-viShavegaH,"the disorder is characterized by śyāvā jihvā [blackish tongue], stabdhā jihvā [stiff tongue], mūrcchā [syncope/attacks of swooning], śvāsaḥ [breathlessness/difficult breathing], jihvāstambhaḥ [stiffness of tongue], trāsaḥ [fear], klamaḥ [exhaustion without exertion], vamiḥ [vomiting] sthAvara-prathama-viShavegaH",FA01,Rheumatoid Arthritis
PC-11.2,sthAvara-dvitIya-viShavegaH,"the disorder is characterized by vēpathuḥ [shivering/tremors], sādaḥ [exhaustion or tirednes of body], dāhaḥ [burning sensation], kaṇṭharujaḥ [pain in the throat], viṣamam āmāśayaprāptaṁ hr̥di vēdanām kurutē [poison reaches the stomach it causes pain in the region of the heart] sthAvara-dvitIya-viShavegaH",DA00,Gastritis
PC-11.3,sthAvara-tRutIya/viShavegaH,"the disorder is characterized by tāluśōṣam [dryness of palate], āmāśayaśūlam [colicky pain in epigastric region], durvarṇē lōcanē jāyētē [eyes become discoloured], haritē lōcanē jāyētē [eyes become greenish], śūnē lōcanē jāyētē [eyes become swollen], durbalē lōcanē jāyētē [weakness in eyes] sthAvara-tRutIya/viShavegaH",1E30,Dengue Fever
PC-11.4,sthAvara-caturtha/viShavegaH,"the disorder is characterized by pakvāśaya tōdaḥ [pain in rectum], āmāśaya tōdaḥ [pricking pain in stomach], hikkā [hiccup], kāsaḥ [cough], āntrakūjanam [barborygmus/ gurgling sound of intestines], śirōgauravaḥ [heaviness of head] sthAvara-caturtha/viShavegaH",8A20,Migraine
PC-11.5,sthAvara-pa~jcama-viShavegaH,"the disorder is characterized by kaphaprasēkaḥ [mucoid expectoration], vaivarṇyam [discolouration], parvabhēdaḥ [breaking type of pain in small joints], sarvadōṣaprakōpaḥ [vitiation of all dōṣa], pakvādhānē vēdanā [pain in rectum] sthAvara-pa~jcama-viShavegaH",1E30,Dengue Fever
PC-11.6,sthAvara-ShaShTha-viShavegaH,"the disorder is characterized by prajñāpraṇāśaḥ/saṁjñāpraṇāśaḥ [loss of conciousness], bhr̥śam atisāryatē [severe diarrhoea] sthAvara-ShaShTha-viShavegaH",1A00,Cholera
PC-11.7,sthAvara-saptama-viShavegaH,"the disorder is characterized by skandhabhaṅgaḥ [breaking sensation of shoulders/drooping of shoulders], pr̥ṣṭhabhaṅgaḥ [paralysis of the muscles in back], kaṭībhaṅgaḥ [breaking sensation of waist], sannirōdhaḥ (ucchvāsasya) [difficult respiration], mr̥tyuḥ [death] sthAvara-saptama-viShavegaH",1E30,Dengue Fever
PD,dUShIviShaH/kRutrimaviShaH,"the disorder is characterized by bhinnapurīṣaḥ [loose stools], bhinnavarṇaḥ [change in normal complexion], vigandha mukhaḥ [foul odour from mouth], vairasya mukhaḥ [altered taste in the mouth], pipāsā [thirst], mūrcchā [syncope/attacks of swooning], chardiḥ [vomiting], gadgadavāk [stuttering/ stammmering], viṣaṇṇaḥ [sadness/depression], duṣyōdara-liṅgāni [features of dūṣya udara], dhvastaśirōruhāṅgaḥ (yathā vilūnapakṣaḥ-vihaṅgaḥ) [loss of hairs from all parts of the body], annamadaḥ [sense of intoxication after meal], avipākaḥ [indigestion], arōcakaḥ [tastelessness], maṇḍalaḥ [circular eruptions], kōṭhaḥ [wheal like skin eruptions], mōhaḥ [confusion/delirium], dhātukṣayaḥ [diminution of dhatu/ emaciation], pāda-śōphaḥ/pādapraśōthaḥ [pedal oedema], karaśōphaḥ/karapraśōthaḥ [swelling in hands], āsya-śōphaḥ [swelling of mouth], dakōdaram/udaram [clinical features of dakōdar], atisāraḥ [diarrhoea], vaivarṇyam [discolouration], viṣamajvaraḥ [clinical features of viṣamajvara], prabalāṁ tr̥ṣām [excessive thirst], unmādaḥ [insanity], ānāhaḥ [barborygmus with distention], śukra-kṣapaṇam [loss of śukra], gādgadyaḥ [stuttering/ stammmering], kuṣṭhaḥ [skin diseases], aruḥ [red colored], kiṭibhaḥ [clinical features of kiṭibha], asūn harati [leads to death], śōphaḥ [oedema], pāṇḍuḥ [pallor], durnāmaḥ [haemorrhoids], māṁsakṣayaḥ [extreme wasting of muscles/diminution of muscle mass], śvāsaḥ [breathlessness/difficult breathing], jaṭhara-pravr̥ddhiḥ [abdominal swelling], jvaraḥ [fever] dUShIviShaH/kRutrimaviShaH",1D81,COVID-19
PD-1,dUShIviShapUrvarupa,"the disorder is characterized by nidrā [sleep], gurutvam [heaviness of the body], vijr̥mbhaṇam [yawning], viślēṣaḥ [a sense of looseness of the joints], harṣaḥ [horripilation], aṅgamardaḥ [generalised bodyache] dUShIviShapUrvarupa",CA40,Influenza
PD-2,dUShIviSha/kITadaShTaH,"the disorder is characterized by kr̥ṣṇaḥ [blackish discoloration], śyāva [blackish discoloration], jālakāvr̥tam/jālakācitam [appearance of web of vessels], dagdhākr̥tiḥ [burnt apperance], bhr̥śaṁpāki/bhr̥śaṁ pākam [quick suppuration], klēdaḥ [moistening / soddening], śōthaḥ [oedema], jvaraḥ [fever], ūrdhvākr̥tiḥ [elevated] dUShIviSha/kITadaShTaH",MG20,Fever of Unknown Origin
PD-3,dUShIviSha/lUtAdaShTaH,dUShIviSha/lUtAdaShTaH,1A00,Cholera
PD-4,pakvASayastha-dUShIviSham,"the disorder is characterized by anilapittarōgāḥ [vātapitta disorders], uddhvastaśirōruhāṅgaḥ [hairs fall down from head and body], vilūnapakṣastu yathā vihaṅgaḥ [individual looks like a bird that has withered wings] pakvASayastha-dUShIviSham",5B80,Obesity
PD-5,dhAtugata-dUShIviSham,"the disorder is characterized by dhātuprabhavān vikārān [produces ailments due to involvement of the dhātus.e.g., rasa -aversion to food, anorexia etc] dhAtugata-dUShIviSham",2B60,Malignant Neoplasm of Stomach
PD-6,asAdhya-dUShIviShaH,asAdhya-dUShIviShaH,1A00,Cholera
PD-7,dUShIviShopadravaH,"the disorder is characterized by jvaraḥ [fever], dāhaḥ [burning sensation], hikkā [hiccup], ānāhaḥ [barborygmus with distention], śukra-saṁkṣayam [loss of śukra/ semen], śōphaḥ [oedema], atisāraḥ [diarrhoea], mūrcchā [syncope/attacks of swooning], hr̥drōgaḥ [diseases of heart], jaṭharaḥ [abdominal distention], unmādaḥ [insanity], vēpathuḥ [shivering/tremors] dUShIviShopadravaH",8E00,Peripheral Neuropathy
PE (SQ6Y),ja~ggamaviShaH,ja~ggamaviShaH,1A00,Cholera
PE-1,sarpaviShaH,sarpaviShaH,1A00,Cholera
PE-1.1,sarpadaShTaH,sarpadaShTaH,1A00,Cholera
PE-1.1.1,sarpita-daShTaH,"the disorder is characterized by cañcumālakayutktaḥ [compact beak like ring mark], vaikr̥tyakaraṇaḥ [causes deformity], saṁkṣiptaḥ [minute], saśōphaḥ [associated with swelling] sarpita-daShTaH",NA00,Fracture
PE-1.1.2,radita/rudita-daShTaH,"the disorder is characterized by salōhitarājyaḥ [bitten part is marked by reddish lines], nīlarājyaḥ [bitten part is marked by bluish lines], pītarājyaḥ [bitten part is marked by yellowish lines], sitarājyaḥ [bitten part is marked by white lines], alpaviṣam [less venomous] radita/rudita-daShTaH",NA00,Fracture
PE-1.1.3,nirviSha-daShTaH,"the disorder is characterized by aśōphaḥ [Absence of swelling], alpaduṣṭāsr̥k [presence of slightly vitiated blood], prakr̥tisthadēhī [victim is perfectly normal], padaṁ padāni vā [one or more fang marks on the bitten spot] nirviSha-daShTaH",GA80,Amenorrhoea
PE-1.2,darvIkara-sarpaviShaH,"the disorder is characterized by tvak-kr̥ṣṇatvam [blackish skin], nayanakr̥ṣṇatvam [blackish eyes], nakhakr̥ṣṇatvam [blackish nails], daśanakr̥ṣṇatvam [blackish teeth], vadanakr̥ṣṇatvam [blackish face], mūtrakr̥ṣṇatvam [blackish urine], purīṣakr̥ṣṇatvam [blackish feces], daṁśakr̥ṣṇatvam [blackish bite site], raukṣyam [dryness], śirōgauravam [heaviness of head], sandhivēdanā [pain in joints], kaṭidaurbalyam [weakness of lowback], pr̥ṣṭhadaurbalyam [weakness of back], grīvādaurbalyam [weakness of neck], jr̥ṁbhā [yawning], vēpathuḥ [shivering/tremors], svarāvasādaḥ [sunken voice], ghurghurakaḥ [making ghhurghur sound], jaḍatā [dullness/ frigidity/inactiveness], śuṣkōdgāraḥ [dry eructations], kāsaḥ [cough], śvāsaḥ [breathlessness/difficult breathing], hikkā [hiccup], vāyōḥ ūrdhvagamanam [upward movement of vāyu], śulaḥ [colicky pain in the abdomen], udvēṣṭanam [convulsive movements of body], tr̥ṣṇā [thirst], lālāsrāvaḥ [salivation], phēnāgamanam [frothy vomiting], srōtōऽvarōdhaḥ [blocking of srōtas/ channels], vātavēdanā [pain of vāta origin] darvIkara-sarpaviShaH",3A00,Iron Deficiency Anaemia
PE-1.2.1,darvIkarasarpaviShavega,darvIkarasarpaviShavega,1A00,Cholera
PE-1.2.1.1,darvIkarasarpaviSha-prathamaviShavegaH,"the disorder is characterized by śōṇitaṁ kr̥ṣṇatāmupaiti [blood turns to black], aṁgakārṣṇyam/vaktrādiśyāvatā [darkness of body/ face], pipīlikā parisarpaṇam iva aṁgē/ kīṭakāḥ sarpanti iva [feeling of moving of ants on body] darvIkarasarpaviSha-prathamaviShavegaH",5B80,Obesity
PE-1.2.1.2,darvIkarasarpaviSha-dvitIyaviShavegaH,"the disorder is characterized by atyarthaṁ kr̥ṣṇatā (aṅgē) [excessively blackness of bodyparts], śōphaḥ [oedema], granthayaḥ [nodular swelling] darvIkarasarpaviSha-dvitIyaviShavegaH",MG40,Oedema / Swelling
PE-1.2.1.3,darvIkarasarpaviSha-tRutIyaviShavegaH,"the disorder is characterized by dṁśaklēdaḥ/daṁśaviklēdaḥ [wetness at bite site], śirōgauravam/mūrdhagauravam [heaviness of body], svēdaḥ [perspiration], cakṣuḥ grahaṇam/dr̥grōdhaḥ [lacking sight] darvIkarasarpaviSha-tRutIyaviShavegaH",1E90,Rabies
PE-1.2.1.4,darvIkarasarpaviSha-caturthaviShavegaH,"the disorder is characterized by tandrā [drowsiness/lassitude], prasēkaḥ [excessive salivation], sandhiviślēṣaḥ [loosening /dislocation of joints], ṣṭhīvanam [Spitting/excess expectoration], vamiḥ [vomiting] darvIkarasarpaviSha-caturthaviShavegaH",1E90,Rabies
PE-1.2.1.5,darvIkarasarpaviSha-pa~jcamaviShavegaH,"the disorder is characterized by parvabhēdaḥ [breaking type of pain in small joints], hikkā/hidhmā [hiccup], dāhaḥ [burning sensation], sandhiviślēṣaḥ [loosening /dislocation of joints] darvIkarasarpaviSha-pa~jcamaviShavegaH",FA01,Rheumatoid Arthritis
PE-1.2.1.6,darvIkarasarpaviSha-ShaShThaviShavegaH,"the disorder is characterized by atyarthagrahaṇīduṣṭiḥ [severe affliction of 'grahaṇī' organ], gātragauravam [heaviness of body parts], atisāraḥ [diarrhoea], hr̥tpīḍā [precordial pain/cardiac pain], mūrcchā [syncope/attacks of swooning], avipākaḥ [indigestion] darvIkarasarpaviSha-ShaShThaviShavegaH",5B80,Obesity
PE-1.2.1.7,darvIkarasarpaviSha-saptamaviShavegaH,"the disorder is characterized by ślēṣmavartiprādurbhāvaḥ [wick like thick mucoidal disharge from mouth], kaṭībhaṅgaḥ [breaking sensation of waist], pr̥ṣṭhabhaṅgaḥ [breaking sensation of the back], sarvacēṣṭāvighātaḥ/sarvacēṣṭānivartanam [impairment of all functions], lālātipravr̥̄ttiḥ [excessive salivation], svēdātipravr̥ttiḥ [excessive sweating], ucchvāsanirōdhaḥ [difficult respiration], skandhabhaṅgaḥ [breaking sensation of shoulders/drooping of shoulders] darvIkarasarpaviSha-saptamaviShavegaH",1E30,Dengue Fever
PE-1.2.2,asAdhya-dArvIviSha,asAdhya-dArvIviSha,1A00,Cholera
PE-1.3,maNDalI-sarpaviShaH,"the disorder is characterized by tvagādīnāṁ pītatvam [yellowish discoloration of skin etc.], śītābhilāṣaḥ [desire for cold], paridhūpanam [fumigating sensation/ whole body burning sensation], dāhaḥ [burning sensation], tr̥ṣṇā [thirst], madaḥ [insanity], mūrcchā [syncope/attacks of swooning], jvaraḥ [fever], śōṇitāgamanam (ūrdhvam) [bleeding from upper orifices of body], śōṇitāgamanam (adhaḥ) [bleeding from lower orifices of body], māṁsāvaśātanam [decaying of māṁsa], śvayathuḥ [swelling], dṁśakōthaḥ [necrosis at bite site], pītarūpadarśanam [yellowish appearance], āśukōpaḥ [quick anger], pittavēdanā [pain of pitta type - ōśa, cōṣa etc.] maNDalI-sarpaviShaH",DA00,Gastritis
PE-1.3.1,maNDalIsarpaviShavega,maNDalIsarpaviShavega,1A00,Cholera
PE-1.3.1.1,maNDalIsarpaviSha-prathamaviShavegaH,"the disorder is characterized by śōṇitaṁ praduṣṭaṁ pītatāmupaiti/pītībhavatyasr̥k [poison affects the blood, viatiated blood becomes yellow], paridāhaḥ/dāhaḥ [severe burning sensation], pītāvabhāsatā aṅgānāṁ/pītāṅgatā [yellowish discoloration of the body] maNDalIsarpaviSha-prathamaviShavegaH",3B00,Haemolytic Anaemia
